date | amount 

#Date Validation:
2009-01-02 | 1
2009-01-03 | 1
2009-01-05 | 1
2011-03-01 | 1
2011-03-02 | 1
2011-03-03 | 1.1
2011-03-04 | 1.1
2011-03-05 | 1.2
2011-03-09 | 1.6
2011-03-29 | 1.6
2011-03-30 | 1.6
2011-03-31 | 1.6
2011-04-29 | 1.6
2011-04-30 | 1.7
2011-04-31 | 1.7

#Leap Year Validation:
#Valid
1900-02-28 | 0
2000-02-28 | 4.2
2000-02-29 | 4.2
2012-02-29 | 4.2
2013-02-28 | 4.2
2020-02-28 | 10
2020-02-28 | 10
2100-02-28 | 12

#Invalid
1900-02-29 | 0
2001-02-29 | 4.2
2013-02-29 | 4.2
2100-02-29 | 12

